"Key","Comment","ja","en","zh_cn","zh_tw","ko","es","ar","id"
"MetaVoicepeak","","合成音声設定 (VOICEPEAK)","Voice synth (VOICEPEAK)","合成语音(VOICEPEAK)","合成語音(VOICEPEAK)","합성 음성 (VOICEPEAK)","Voz sintetizada (VOICEPEAK)","صوت اصطناعي (VOICEPEAK)","Suara sintetis (VOICEPEAK)"
"MetaVoicevox","","合成音声設定 (VOICEVOX)","Voice synth (VOICEVOX)","合成语音(VOICEVOX)","合成語音(VOICEVOX)","합성 음성 (VOICEVOX)","Voz sintetizada (VOICEVOX)","صوت اصطناعي (VOICEVOX)","Suara sintetis (VOICEVOX)"
"MetaYMMSettings","","UI・処理・ウィンドウ配置設定","UI, processing and window layout","UI、处理及窗口布局","UI、處理及視窗配置","UI・처리・윈도우 배치","Configuración UI y diseño","إعدادات واجهة المستخدم والنافذة","Pengaturan UI dan tata letak"
"IconScale","アイコン拡大縮小スライダーラベル","拡大率","Scale","缩放","縮放","배율","Escala","مقياس","Skala"
"IconOffsetX","アイコン横位置スライダーラベル","横位置","Offset X","横向偏移","橫向偏移","가로 위치","Desplaz. X","إزاحة أفقية","Geser X"
"IconOffsetY","アイコン縦位置スライダーラベル","縦位置","Offset Y","纵向偏移","縱向偏移","세로 위치","Desplaz. Y","إزاحة عمودية","Geser Y"
"IconBgType","アイコン背景種別ラベル","背景","Background","背景","背景","배경","Fondo","الخلفية","Latar Belakang"
"IconBgNone","背景なし","なし","None","无","無","없음","Ninguno","بلا","Tidak Ada"
"IconBgSolid","背景単色","単色","Solid","纯色","純色","단색","Color sólido","لون صلب","Warna Solid"
"IconBgGradient","背景グラデーション","グラデーション","Gradient","渐变","漸層","그라데이션","Degradado","تدرج","Gradien"
"IconBgColor1","背景色1ボタンラベル","色1","Color 1","颜色1","顏色1","색상 1","Color 1","اللون 1","Warna 1"
"IconBgColor2","背景色2ボタンラベル（グラデーション時）","色2","Color 2","颜色2","顏色2","색상 2","Color 2","اللون 2","Warna 2"
"ColorPickerTitle","カラーピッカーダイアログタイトル","色の選択","Select Color","选择颜色","選擇顏色","색상 선택","Seleccionar color","اختر اللون","Pilih Warna"
"SelectSourceInstance","引き継ぎ元インスタンス選択ダイアログタイトル","引き継ぎ元インスタンスを選択","Select Source Instance","选择继承源实例","選擇繼承來源實例","계승 원본 인스턴스 선택","Seleccionar instancia fuente","اختر مثيل المصدر","Pilih Instans Sumber"
"SelectSourceInstanceDesc","引き継ぎ元選択の説明","設定を引き継ぎたいインスタンスを選んでください","Select the instance to inherit settings from","请选择要从中继承设置的实例","請選擇要繼承設定的實例","설정을 계승할 인스턴스를 선택하세요","Seleccione la instancia de la que heredar la configuración","حدد المثيل الذي تريد توارث إعداداته","Pilih instans yang ingin Anda warisi pengaturannya"
"NoOtherInstance","他に引き継げるインスタンスがない場合","引き継ぎ元になれる他のインスタンスがありません","No other instance available to inherit from","没有其他可以继承的实例","沒有其他可繼承的實例","계승할 다른 인스턴스가 없습니다","No hay otra instancia disponible para heredar","لا يوجد مثيل آخر متاح للتوارث","Tidak ada instans lain yang tersedia untuk diwarisi"
"OpenSite","サイトを開くボタンのラベル","サイトで確認","Open Site","前往网站","前往網站","사이트에서 확인","Ver en sitio","فتح الموقع","Buka Situs"
"IconDragHint","アイコンドラッグ移動のヒント","画像をドラッグして位置を調整","Drag image to adjust position","拖动图像以调整位置","拖曳圖片以調整位置","이미지를 드래그하여 위치 조정","Arrastra la imagen para ajustar posición","اسحب الصورة لضبط الموضع","Seret gambar untuk menyesuaikan posisi"
"IconEditorTitle","アイコン編集ウィンドウタイトル","アイコンの設定","Icon Settings","图标设置","圖示設定","아이콘 설정","Configuración de ícono","إعدادات الأيقونة","Pengaturan Ikon"
"OpenIconEditor","アイコン設定ボタンラベル","アイコンを設定...","Configure Icon...","配置图标...","設定圖示...","아이콘 설정...","Configurar ícono...","ضبط الأيقونة...","Atur Ikon..."
"ResetToExeIconShort","初期アイコンに戻るボタン","初期アイコンに戻る","Reset to Default","恢复默认图标","還原為預設圖示","기본 아이콘으로 초기화","Restablecer ícono","إعادة الأيقونة الافتراضية","Kembalikan Ikon Default"
"IconBgImage","背景種別：画像","画像","Image","图像","圖像","이미지","Imagen","صورة","Gambar"
"SelectBgImage","背景画像選択ダイアログタイトル","背景画像を選択","Select Background Image","选择背景图片","選擇背景圖片","배경 이미지 선택","Seleccionar imagen de fondo","اختر صورة الخلفية","Pilih Gambar Latar"
"GradientAngle","グラデーション角度スライダーラベル","角度","Angle","角度","角度","각도","Ángulo","زاوية","Sudut"
"IconWheelHint","ホイールスクロールで拡大縮小するヒント","(ホイールで拡大縮小)","(scroll to zoom)","（滚轮缩放）","（滾輪縮放）","(휠로 확대/축소)","(rueda para zoom)","(عجلة للتكبير)","(gulir untuk zoom)"
"AutoOpenSiteOnBulkDownload","一括DL時サイト自動オープン設定","一括DL時にサイトで確認を自動で開く","Auto-open site check during bulk download","批量下载时自动打开网站确认","批次下載時自動開啟網站確認","일괄 다운로드 시 사이트 확인 자동 열기","Abrir sitio automáticamente en descarga masiva","فتح الموقع تلقائيًا عند التنزيل الجماعي","Buka situs otomatis saat unduhan massal"
